Wilayah;Keterangan;Bahasa Indonesia;Bahasa Inggris;Matematika;IPA;Fisika;Kimia;Biologi;Ekonomi;Sosiologi;Geografi;Kejuruan;Jumlah Peserta;latitude;longitude
Kabupaten Aceh Selatan;Nilai Rata-rata Sekolah UN SMA IPA;78,52;70,93;57,85;;71,84;65,69;62,53;;;;;1614;33.115.056;973.516.558
Kabupaten Aceh Selatan;Nilai Rata-rata Sekolah UN SMA IPS;73,37;62,51;62,05;;;;;57,62;59,62;55,58;;1399;33.115.056;973.516.558
Kabupaten Aceh Selatan;Nilai Rata-rata Sekolah UN SMA SMK;46,44;46,6;23,9;;;;;;;;72,59;475;33.115.056;973.516.558
Kabupaten Aceh Singkil;Nilai Rata-rata Sekolah UN SMP;69,47;60,81;61,3;56,8;;;;;;;;2246;23.589.459;9.787.216
Kabupaten Aceh Singkil;Nilai Rata-rata Sekolah UN SMA IPA;74,23;68,31;61,16;;72,01;65,14;60,36;;;;;683;23.589.459;9.787.216
Kabupaten Aceh Singkil;Nilai Rata-rata Sekolah UN SMA IPS;68,86;60,59;59,39;;;;;52,47;59,93;55,39;;767;23.589.459;9.787.216
Kabupaten Aceh Singkil;Nilai Rata-rata Sekolah UN SMA SMK;54,47;49,72;35,25;;;;;;;;75,06;262;23.589.459;9.787.216
Kabupaten Aceh Tamiang;Nilai Rata-rata Sekolah UN SMA SMK;55,85;41,34;28,56;;;;;;;;72,99;708;42.328.871;980.028.892
Kabupaten Aceh Tamiang;Nilai Rata-rata Sekolah UN SMA IPS;72,17;66,18;68,49;;;;;50,7;60,37;64,3;;1116;42.328.871;980.028.892
Kabupaten Aceh Tamiang;Nilai Rata-rata Sekolah UN SMA IPA;77,39;69,26;63,65;;66,66;78,3;71,53;;;;;1669;42.328.871;980.028.892
Kabupaten Aceh Tamiang;Nilai Rata-rata Sekolah UN SMP;68,32;72;68,21;70,05;;;;;;;;5019;42.328.871;980.028.892
